"typologie";"voie";"arrdt";"cycling_length"
"Pistes cyclables";"AVENUE DE FRANCE";"13";"79.32225092"
"Pistes cyclables";"BOULEVARD JOURDAN";"14";"71.32728974"
"Couloirs de bus ouverts aux vélos";"Rue de Rivoli";"1";"43.1725426"
"Bandes cyclables";"BOULEVARD EXELMANS";"16";"26.16435128"
"Couloirs de bus ouverts aux vélos";"PONT DU GARIGLIANO";"16";"101.28103535"
"Pistes cyclables";"BOULEVARD BRUNE";"14";"5.76026872"
"Pistes cyclables";"BOULEVARD BRUNE";"14";"214.42567742"
"Pistes cyclables";"BOULEVARD BRUNE";"14";"57.43251922"
"Pistes cyclables";"BOULEVARD MASSENA";"13";"95.89957395"
"Pistes cyclables";"BOULEVARD MASSENA";"13";"19.72408283"
"Pistes cyclables";"RUE DE CONSTANTINE";"7";"90.23459779"
"Pistes cyclables";"RUE ROBERT ESNAULT PELTERIE";"7";"28.43378361"
"Bandes cyclables";"QUAI D ORSAY";"7";"280.9040827"
"Couloirs de bus ouverts aux vélos";"AVENUE DE LA PORTE DE SAINT CLOUD";"16";"73.16669829"
"Pistes cyclables";"RUE HENRY FARMAN";"15";"263.24520608"
"Couloirs de bus ouverts aux vélos";"RUE DE VAUGIRARD";"15";"135.69530196"
"Pistes cyclables";"BOULEVARD JOURDAN";"14";"19.42098852"
"Pistes cyclables";"BOULEVARD KELLERMANN";"13";"14.70108407"
"Couloirs de bus ouverts aux vélos";"BOULEVARD SAINT GERMAIN";"7";"95.00340209"
"Pistes cyclables";"BOULEVARD MASSENA";"13";"16.66635461"
"Bandes cyclables";"PONT DE LA CONCORDE";"7";"67.00726307"
"Bandes cyclables";"RUE SAINT ANDRE DES ARTS";"6";"10.59978273"
"Pistes cyclables";"Rue Vercingétorix";"14";"222.02215388"
"Pistes cyclables";"Rue Vercingétorix";"14";"57.46789843"
"Couloirs de bus ouverts aux vélos";"RUE DE SEVRES";"6";"17.16452333"
"Couloirs de bus ouverts aux vélos";"RUE LABROUSTE";"15";"40.69460929"
"Couloirs de bus ouverts aux vélos";"BOULEVARD DE LA TOUR MAUBOURG";"7";"122.59657862"
