"voie";"arrdt";"cycling_length"
"PLACE HENRI LANGLOIS";"13";"61.83796525"
"AVENUE D ITALIE";"13";"14.43829048"
"AVENUE D ITALIE";"13";"60.34687644"
"AVENUE D ITALIE";"13";"28.52222156"
"PLACE NATIONALE";"13";"6.54869769"
"BOULEVARD VINCENT AURIOL";"13";"112.77282316"
"QUAI PANHARD ET LEVASSOR";"13";"103.77424339"
"QUAI D IVRY";"13";"26.80988026"
"QUAI DE BERCY";"12";"31.69638491"
"QUAI DE BERCY";"12";"9.74974124"
"PLACE SAINT AUGUSTIN";"8";"21.39939794"
"Quai d'Austerlitz";"13";"101.5075455"
"PLACE DE LA CONCORDE";"8";"8.95935246"
"BOULEVARD VICTOR";"15";"6.42468995"
"BOULEVARD JOURDAN";"14";"36.4763747"
"BOULEVARD DU GENERAL MARTIAL VALIN";"15";"228.91311953"
"BOULEVARD EXELMANS";"16";"18.51169739"
"BOULEVARD MASSENA";"13";"4.15829191"
"BOULEVARD MASSENA";"13";"13.07842126"
"BOULEVARD MASSENA";"13";"191.71516838"
"BOULEVARD KELLERMANN";"13";"100.82884609"
"BOULEVARD JOURDAN";"14";"9.51444669"
"BOULEVARD KELLERMANN";"13";"261.41691843"
"BOULEVARD MASSENA";"13";"38.62799356"
"COURS LA REINE";"8";"13.93785898"
"RUE VERCINGETORIX";"14";"113.55781855"
"RUE DE RENNES";"6";"23.58694996"
"BOULEVARD DE GRENELLE";"15";"14.78677209"
"BOULEVARD PASTEUR";"15";"41.23993133"
"PONT DE L ALMA";"7";"65.73339272"
"PONT D IENA";"7";"90.51281389"
"AVENUE HENRI MARTIN";"16";"13.21071844"
"AVENUE HENRI MARTIN";"16";"9.82517341"
"AVENUE DE L HIPPODROME";"16";"10.57022535"
"AVENUE HENRI MARTIN";"16";"162.00750283"
"AVENUE HENRI MARTIN";"16";"19.96284544"
"ROUTE DES MOULINS";"16";"8.29871876"
"PORTE MAILLOT";"16";"110.06070488"
"AVENUE DE NEW YORK";"16";"13.66044234"
"BOULEVARD AUGUSTE BLANQUI";"13";"27.18233988"
"BOULEVARD AUGUSTE BLANQUI";"13";"17.01252785"
"RUE DU COTENTIN";"15";"82.30960253"
"BOULEVARD AUGUSTE BLANQUI";"13";"14.96847205"
"RUE DE L OUEST";"14";"35.65996861"
"BOULEVARD SAINT JACQUES";"14";"100.64108791"
"Avenue de Flandre";"19";"1456.80194701"
"PLACE DU 18 JUIN 1940";"6";"31.74260783"
"RUE DU PERE CORENTIN";"14";"6.16425386"
"RUE DE LA TOMBE ISSOIRE";"14";"8.90227306"
"PONT MARIE";"4";"88.77391946"
"RUE BONAPARTE";"6";"18.14601896"
"BOULEVARD HENRI IV";"4";"23.72003974"
"RUE DE LOBAU";"4";"43.56750356"
