"Identifiant";"Dénomination complète";"Type voie";"Arrondissement";"Longueur voie"
"10972";"AVENUE DU GENERAL MESSIMY";"avenue";"12e";"110"
"9997";"PASSAGE DU COMMERCE SAINT-MARTIN";"passage";"03e";"72"
"10721";"RUE FIRMIN GEMIER";"rue";"18e";"135"
"11106";"RUE DU GRAND VENEUR";"rue";"03e";"115"
"10109";"RUE CUGNOT";"rue";"18e";"280"
"10128";"RUE DALLOZ";"rue";"13e";"40"
"10797";"RUE FRANCIS DE MIOMANDRE";"rue";"13e";"230"
"10147";"PASSAGE DE DANTZIG";"passage";"15e";"106"
"10528";"RUE DES ENTREPRENEURS";"rue";"15e";"775"
"10826";"AVENUE FREDERIC LE PLAY";"avenue";"07e";"110"
"10569";"RUE ESCOFFIER";"rue";"12e";"270"
"10263";"ALLEE DE LA DEUXIEME D. B.";"allée";"14e,15e";"190"
"11256";"RUE HENRY DE LA VAULX";"rue";"16e";"400"
"10666";"AVENUE FELIX D'HERELLE";"avenue";"16e";"120"
"11263";"PLACE HENRI MONDOR";"place";"06e";"85"
"11751";"RUE LE DANTEC";"rue";"13e";"155"
"12984";"AVENUE DE LA PORTE DE MENILMONTANT";"avenue";"20e";"110"
"12985";"AVENUE DE LA PORTE MOLITOR";"avenue";"16e";"200"
"12517";"RUE DU NOYER-DURAND";"rue";"19e";"80"
"11792";"PLACE LEON DEUBEL";"place";"16e";""
"12665";"RUE PAUL BELMONDO";"rue";"12e";"275"
"11915";"RUE LOUIS DELAPORTE";"rue";"20e";"145"
"12753";"SQUARE DU PERIGORD";"square";"20e";"80"
"11492";"RUE JEAN POULMARCH";"rue";"10e";"160"
"12852";"PLACE PIERRE LAMPUE";"place";"05e";""
"12861";"RUE DE LA PIERRE LEVEE";"rue";"11e";"267"
"15083";"PLACE ANNE-MARIE CARRIERE";"place";"18e";"35"
"11544";"RUE JOSEPH ET MARIE HACKIN";"rue";"16e";"46"
"12048";"ALLEE MARCEL JAMBENOIRE";"allée";"13e";"90"
"14261";"VOIE J/8";"voie";"08e";"30"
"11609";"RUE KEUFER";"rue";"13e";"95"
"12101";"RUE MARIETTA MARTIN";"rue";"16e";"79"
"14287";"VOIE CD/12";"voie";"12e";"105"
"14797";"RUE GERMAINE TAILLEFERRE";"rue";"19e";"132"
"14240";"VOIE F/14";"voie";"14e";"85"
"14244";"RUE MICHEL TAGRINE";"rue";"19e";"52"
"14328";"VOIE EJ/20";"voie";"20e";"45"
"14348";"VOIE EZ/20";"voie";"12e,20e";"90"
"14816";"RUE COLETTE MAGNY";"rue";"19e";"206"
"13458";"AVENUE SIMON BOLIVAR";"avenue";"19e";"1335"
"13470";"RUE SOEUR CATHERINE MARIE";"rue";"13e";"150"
"14441";"VOIE Y/19";"voie";"19e";"11"
"14277";"VOIE M/18";"voie";"18e";"78"
"13500";"ESPLANADE DU SOUVENIR FRANCAIS";"esplanade";"07e";"161"
"13509";"RUE STANISLAS MEUNIER";"rue";"20e";"115"
"14836";"ALLEE PIERRE BEREGOVOY";"allée";"11e,20e";"380"
"13525";"PLACE STUART MERRILL";"place";"17e";""
"14591";"CARREFOUR DE NORVEGE";"carrefour";"16e";""
"14049";"RUE VICTOR SEGALEN";"rue";"20e";"124"
"13069";"RUE DU PROFESSEUR HYACINTHE VINCENT";"rue";"14e";"160"
"13626";"ESPLANADE SAINT-LOUIS";"esplanade";"12e";"185"
"13714";"RUE DE SAINTE-HELENE";"rue";"13e";"190"
"13755";"PASSAGE DU TELEGRAPHE";"passage";"20e";"85"
"13769";"AVENUE DES TERROIRS DE FRANCE";"avenue";"12e";"340"
"13154";"IMPASSE RAYMOND QUENEAU";"impasse";"18e";"53"
"14744";"COURS DU 7EME ART";"cours";"19e";"173"
"15000";"PROMENADE ERIC TABARLY";"promenade";"19e";"270"
"14765";"PLACE MARLENE DIETRICH";"place";"16e";""
"13872";"AVENUE DU TREMBLAY";"avenue";"12e";"2350"
"14198";"VOIE B/10";"voie";"10e";"63"
"14215";"VOIE CB/20";"voie";"20e";"27"
"14778";"PASSAGE SAINT-EMILION";"passage";"12e";"78"
"13268";"SQUARE DE ROCAMADOUR";"square";"16e";"68"
"11455";"RUE JEAN DU BELLAY";"rue";"04e";"75"
"15232";"ALLEE NICOLE GIRARD-MANGIN";"allée";"11e,20e";""
"15246";"PROMENADE JEANNE MOREAU";"promenade";"19e";"118"
"15243";"PASSAGE MARIE ROGISSART";"passage";"12e";""
"14963";"ESPLANADE DU 9 NOVEMBRE 1989";"esplanade";"15e";""
"10256";"PLACE DES DEUX ECUS";"place";"01e";""
"14130";"RUE DES WALLONS";"rue";"13e";"206"
"13195";"RUE RENE PANHARD";"rue";"13e";"39"
"11021";"RUE GEORGES VILLE";"rue";"16e";"156"
"10452";"RUE EDOUARD FOURNIER";"rue";"16e";"110"
"14857";"ALLEE MARIA CALLAS";"allée";"16e";"637"
"12608";"RUE DE PANAMA";"rue";"18e";"150"
"9772";"RUE CHARLES GERHARDT";"rue";"17e";"33"
"12689";"RUE PAUL GERVAIS";"rue";"13e";"127"
"13038";"RUE DE PRAGUE";"rue";"12e";"230"
"11905";"RUE LOUIS BLANC";"rue";"10e";"970"
"11419";"RUE JASMIN";"rue";"16e";"235"
"12256";"RUE MILNE-EDWARDS";"rue";"17e";"52"
"10685";"CITE FEREMBACH";"cité";"17e";"75"
