,segment_id,year_travel,date_travel,lat,lat_arrival,lon,lon_arrival,distance_km,airline,departure,description,co2e
0,1,2014,2014-04-01,52.5597,52.308601,13.2877,4.76389,578.19,Klm,TXL,Klm | KL1818 | TXL to AMS,81.31
1,2,2014,2014-04-01,52.308601,33.942501,4.76389,-118.407997,8955.96,Delta,AMS,Delta | DL9378 | AMS to LAX,1259.0
2,3,2014,2014-04-10,36.083361,33.942501,-115.151817,-118.407997,380.23,Virgin,LAS,Virgin | VX491 | LAS to LAX,53.47
3,4,2014,2014-04-11,33.942501,49.012798,-118.407997,2.55,9102.52,Delta,LAX,Delta | DL8553 | LAX to CDG,1280.0
4,5,2014,2014-04-11,49.012798,33.942501,2.55,-118.407997,9102.52,Air France,CDG,Air France | AF1534 | CDG to LAX,1280.0
5,6,2014,2014-05-16,52.380001,48.72333,13.5225,2.37944,884.77,Easyjet,SXF,Easyjet | EZY4262 | SXF to ORY,124.4
6,7,2014,2014-05-18,48.72333,52.380001,2.37944,13.5225,884.77,Easyjet,ORY,Easyjet | EZY4265 | ORY to SXF,124.4
7,8,2014,2014-10-03,52.5597,59.651901245117,13.2877,17.918600082397,838.77,Air Berlin,TXL,Air Berlin | AB8102 | TXL to ARN,118.0
8,9,2014,2014-10-05,59.651901245117,52.5597,17.918600082397,13.2877,838.77,Air Berlin,ARN,Air Berlin | AB8109 | ARN to TXL,118.0
9,10,2014,2014-12-05,52.380001,51.8849983215,13.5225,0.234999999404,907.33,Ryanair,SXF,Ryanair | FR8545 | SXF to STN,127.6
10,11,2014,2014-12-07,51.8849983215,52.380001,0.234999999404,13.5225,907.33,Ryanair,STN,Ryanair | FR8544 | STN to SXF,127.6
11,12,2014,2014-12-20,52.380001,48.72333,13.5225,2.37944,884.77,Easyjet,SXF,Easyjet | EZY4264 | SXF to ORY,124.4
12,13,2014,2014-12-30,48.72333,52.380001,2.37944,13.5225,884.77,Easyjet,ORY,Easyjet | EZY4265 | ORY to SXF,124.4
13,14,2015,2015-01-17,52.5597,49.012798,13.2877,2.55,850.5,Germanwings,TXL,Germanwings | 4U8406 | TXL to CDG,119.6
14,15,2015,2015-01-18,49.012798,52.5597,2.55,13.2877,850.5,Germanwings,CDG,Germanwings | 4U8405 | CDG to TXL,119.6
15,16,2015,2015-02-14,52.380001,30.111534,13.5225,31.396694,2874.5,Egypt Air,SXF,Egypt Air | MS732 | SXF to CAI,404.2
16,17,2015,2015-02-14,30.111534,13.681099891662598,31.396694,100.74700164794922,7280.68,Egypt Air,CAI,Egypt Air | MS960 | CAI to BKK,1024.0
17,18,2015,2015-02-20,13.681099891662598,11.5466,100.74700164794922,104.844002,503.93,Bangkok Airways,BKK,Bangkok Airways | PG931 | BKK to PNH,70.87
18,19,2015,2015-02-20,11.5466,13.681099891662598,104.844002,100.74700164794922,503.93,Bangkok Airways,PNH,Bangkok Airways | PG924 | PNH to BKK,70.87
19,20,2015,2015-02-22,13.9125995636,9.13259983063,100.607002258,99.135597229,555.15,Thai Airasia,DMK,Thai Airasia | FD3231 | DMK to URT,78.07
20,21,2015,2015-02-26,9.13259983063,13.9125995636,99.135597229,100.607002258,555.15,Thai Airasia,URT,Thai Airasia | FD3232 | URT to DMK,78.07
21,22,2015,2015-02-26,13.681099891662598,30.111534,100.74700164794922,31.396694,7280.68,Egypt Air,BKK,Egypt Air | MS961 | BKK to CAI,1024.0
22,23,2015,2015-02-26,30.111534,52.380001,31.396694,13.5225,2874.5,Egypt Air,CAI,Egypt Air | MS731 | CAI to SXF,404.2
23,24,2015,2015-03-25,52.5597,52.308601,13.2877,4.76389,578.19,Klm,TXL,Klm | KL1818 | TXL to AMS,81.31
24,25,2015,2015-03-25,52.308601,40.639447,4.76389,-73.779317,5847.58,Klm,AMS,Klm | KL0645 | AMS to JFK,822.3
25,26,2015,2015-03-31,40.639447,49.012798,-73.779317,2.55,5833.71,Air France,JFK,Air France | AF0011 | JFK to CDG,820.4
